crn,name,title,term,credits,status,schedule,begin,end,building,room,capacity,professor,prereq,description,major 
25789,EES 595B,PHD RSRCH IN ABSENTIA ABROAD,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,EES
25809,EES 895,CONT OF MASTER'S ENROLLMENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,EES
25814,EES 897,MASTERS DISSERTATION,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,EES
25823,EES 899,MASTER'S DISSERTATION,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,EES
25837,EES 985,LEAVE OF ABSENCE,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,EES
25846,EES 986V,FULL TIME VISITING STUDENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,EES
25858,EES 995,CONT OF DOCTORAL ENROLLMENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,EES
25860,EES 997,DOCTORAL DISSERTATION,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,EES
25871,EES 999,DOCTORAL DISSERTATION,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,EES
86879,EHU 251,NEW MEDIA AND EMERGING PRACTICE 2: ART ENVIRONMENT ACTION,Fall 2018,4.0,Open,MW,1400,1640,SAGE,BLDG,10,ADAMS C,NULL,"This course explores the possibilities of art-making through networked environments emphasizing emerging technologies and social practice. Our framing creative-research question for the semester will be: What does it mean to be an ecological being in the context of convergent ecological, digital, local, industrial, and global environments, and how do we make art that interrupts this experience? How can artists create texts, objects, and collaborative, participatory social actions that reinvigorate awareness of the ecologically and technologically interconnected world in which we live? We will find out! Not open to seniors. $50 Studio Fee. Permission of instructor is required to enroll.",EHU
86485,EHU 263,History of Food,Fall 2018,4.0,Open,TR,1230,1345,MOREY,525,0,FLEISCHMAN T,NULL,"This seminar examines the shifting relationship between people, food, and the environment that ties them together. It asks how have distance and space between the sites of production and consumption affected the economic and social relations of food? How has geography influenced the types of food people eat? How do views of scarcity and plenty shape approaches to farming? What is the role of governments and markets in agriculture? How does food refract and transform social divisions, cultural attitudes, and daily life? Topics include rural development; subsistence gardening; famine; histories of sugar, corn, pork, fish, whales, ice cream, and anything else that fits on a dinner plate.",EHU
88115,EHU 324,ARCHITECTURE AND ENVIRONMENT,Fall 2018,4.0,Open,T,1650,1930,MOREY,524,15,CHRISTENSEN P,NULL,"This seminar will examine architecture as an ecology of natural resources and materials,human capital and as a system producing its own indelible carbon footprint. We will explorethe notion of the “anthropocene” and how it is made manifest by, through, and in the builtenvironment. This course will be focused primarily on the modern period (1800-present) butwill engage earlier sources and examples dealing with naturalism, conservation, and habitat.The dominant narrative of the period is one of a heroic modernism in architecture, a narrativethat often obscures modern architecture’s troubled legacy of environmental degradation anddestruction. Through a series of advanced readings, we will examine a handful of specificlocations to this end, including the solar house, the mine, the landfill, the scrapyard andseveral others. Authors include Siegfried Giedion, Rachel Carson, Benjamin Bratton. Coursediscussion will revolve around the readings and students will be expected to produce a finalresearch paper.",EHU
91843,EHU 329,INUNDATION AND CATASTROPHE,Fall 2018,4.0,Open,T,1400,1640,MOREY,524,15,HEUER C,NULL,"From Noah to Houston, watery disasters have impacted the ways human culture has visualized, excavated, and understood itself – for better and for worse. This seminar explores the poetics of natural catastrophes of all stripes – dry and wet - looking to the various forms of response that earthly cataclysm (and its imaginings) have wrought. What do older texts and images tell us about our current environmental precarity? As much as fables of extinguished hubris, many classic accounts explore (with painstaking detail) relationships between the individual and the mass, the realms of inevitability and fate, the binaries of technology and nature. The purpose of this course is to look closely at discourses of annihilation and survival that both old and new practices have engaged. At the forefront of our inquiry will be the question – timely, it is hoped – of catastrophes (both water-borne and not) understood as cleanly ""natural"" or man-made, of cataclysms as episodic or quietly attritional.",EHU
95480,EHU 390,SUPERVISED TEACHING,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,EHU
91274,ELP 403,GENERAL ENGLISH,Fall 2018,0.0,Open,TR,1700,1815,CTOWN,102,12,YANG Y,NULL,NULL,ELP
92599,ELP 404,LEARNING&SPEAKING ABOUT U.S.,Fall 2018,0.0,Open,T,1100,1200,DOUG,305,30,HE F,NULL,NULL,ELP
92603,ELP 404,LEARNING&SPEAKING ABOUT U.S.,Fall 2018,0.0,Open,W,1700,1800,DOUG,305,30,HAN Y,NULL,NULL,ELP
92612,ELP 404,LEARNING&SPEAKING ABOUT U.S.,Fall 2018,0.0,Open,F,1300,1400,DOUG,305,30,HE F,NULL,NULL,ELP
92629,ELP 404,LEARNING&SPEAKING ABOUT U.S.,Fall 2018,0.0,Open,S,1400,1500,DOUG,305,30,HE F,NULL,NULL,ELP
25950,ENG 100,"Great Books: War, Warriors, Strategies, Protests",Fall 2018,4.0,Open,MW,1400,1515,MEL,224,0,HIGLEY S,NULL,"My goal is to introduce students to famous writings considered ""great"" that examine the nature of war, the strategies of war and political conduct, and the strategies of surviving war. That so many of our great works, especially our ""epics,"" address and describe wars is a concern of the course. Where does heroism end and expediency begin? What long-lasting voices have been raised against war and the curtailment of freedom? What bonds are made or broken in war? The course is particularly interested in the relationships of men and women--men with men, men with women, women with women--in an institution long considered a masculine domain. Texts we’ll cover are Sun Tzu’s Art of War, Aristotle’s Politics, Karl von Clauswitz’ On War, Gilgamesh, The Iliad, Aristophanes’ Lysistrata, Machiavelli’s Prince, Shakespeare’s Henry V, Stephen Crane’s Red Badge of Courage, Virginia Woolf’s Three Guineas, Sherri Zeman’s The Kommandant’s Mistress and many more.",ENG
82418,ENG 101,MAXIMUM ENGLISH,Fall 2018,4.0,Open,MW,1230,1345,MOREY,501,0,EAVES M,NULL,"""English"" is a little word for lots of things. Is it literature you want today, or creative writing? film? theater? journalism? debate? Maximum ""English"" introduces you to all these areas and to our unique resources for studying and enjoying them—the full range of English here at UR. So you'll learn the fundamentals of reading and viewing from the department's own creative writers, its literary and film critics and historians, and its theater directors. You'll enlarge the experience of reading literature and criticism by listening to writers read their own original work and then discussing it with them. You'll experience plays not only as written scripts but as living theatrical events by attending performances and talking to actors, directors, and designers about what they do to bring a play to the stage. You'll encounter works in different media, from the live human voice to printed books, from the stage to film and multimedia digital texts. Maximum English will launch you into real English—newly expanded.",ENG
26203,ENG 112,CLASSICAL & SCRIPTURAL BACKGROUNDS,Fall 2018,4.0,Open,MW,1150,1305,LATT,210,0,HAHN T,NULL,"This course addresses the Big Questions: Love, Death, War, Sex, Law, and more besides. We’ll come to our readings through myth and history, art and philosophy, and a series of broad conceptual frameworks. Above all, however, this is a course in literary appreciation and influence: we will read extensively in Homer and Virgil, in dialogues by Plato, in a broad selection of Greek tragedy (and one comedy!), in a generous selection from Hebrew and Christian scriptures. Our aim will be to encounter these as challenging, imaginative, absorbing, and enduring attempts to confront, articulate, and share the possibilities of life. We will try to do justice to these texts in their own distinctive terms, but we will strive as well to see why readers before us have prized them so highly for thousands of years, and how we are to make sense of them in the 21st century. The readings are astonishingly rich and rewarding, and we will do our best to live up to them within the limits of a semester's work. First yearswelcome!",ENG
25973,ENG 113,BRITISH LITERATURE I,Fall 2018,4.0,Open,TR,940,1055,MOREY,502,0,HEYWORTH G,NULL,"This course immerses students in the most challenging, influential, and engaging writings from the earlier periods of English literature. Our aim will be to enjoy and understand these writings in themselves, and then to see their relation to each other and to their larger historical context. Students should leave the course with some real affection for particular writings, and some assured sense of the contours and highlights of cultural history. Our emphasis will be on the careful appreciation of language and texture in representative texts and authors (including Chaucer, Spenser, Shakespeare, Donne, Jonson, Milton, Dryden, Swift, Pope and their contemporaries). Class will proceed by lecture and discussion.",ENG
26004,ENG 121,CREATIVE WRITING:FICTION,Fall 2018,4.0,Open,M,1400,1640,MEL,209,15,HANSEN D,NULL,"This class will be structured as a writing workshop, with students sharing their own fiction and participating in critiques. We will read and discuss stories from the nineteenth and twentieth centuries by influential writers, including Poe, Melville, Chekhov, Flaubert, Dinesen, Faulkner, Baldwin, Angela Carter, and Welty. Students will have the chance to experiment with different styles and structures as they learn about literary invention. We'll consider techniques for shaping fictional characters and the related issue of point of view, the possibilities of narrative design, the role of setting and description, and the process of revision.",ENG
26010,ENG 122,CREATIVE WRITING:POETRY,Fall 2018,4.0,Open,T,1105,1345,MOREY,403,15,BALMAIN M,NULL,"An introductory course in the art of writing poetry. In addition to reading and writing poems, students will learn about various essential elements of craft such as image, metaphor, line, syntax, rhyme, and meter. The course will be conducted in a workshop format and instructor permission is required. To apply, email the instructor 3-5 poems or a small prose piece (fiction or creative nonfiction).",ENG
26028,ENG 123,PLAYWRITING: F18,Fall 2018,4.0,Open,M,1230,1515,TODD,202F,10,FILLOUX C,NULL,"Not unlike the essay or laboratory experiment, a play is a tool that allows the curious mind to develop, test, and rethink ideas, and to grapple with significant issues (both public and private) in live, three-dimensional space. Playwriting introduces the beginning writer interested in exploring the discipline of live performance (and the seasoned writer wishing to develop his/her craft) to the exciting world of writing for the stage. Each semester, students in this course get the chance to study with a different, award-winning guest playwright. In so doing, they get to experience instruction and guidance under the tutelage of some of the most exciting voices working professionally in the American theatre.",ENG
26032,ENG 131,REPORTING & WRITING THE NEWS,Fall 2018,4.0,Open,TR,1525,1640,GRGEN,109,35,MEMMOTT J,NULL,"Reporting and Writing the News introduces the student to journalistic writing and reporting. Through a variety of classroom exercises and through out-of-class reporting, students learn to prepare accurate and balanced news stories. Assignments progress from single-source interviewing to news profiles, speech-and-meeting coverage, and feature stories. Additional experience is gained through rewriting assignments, as directed by editing comment. Attention is also paid to First Amendment issues such as libel, as well as to the challenges and opportunities presented by new media. Applicable English Cluster: Language, Media, and Communication [H1ENG016]",ENG
89824,ENG 132,FEATURE WRITING AND MULTIMEDIA STORYTELLING,Fall 2018,4.0,Open,MWF,1150,1240,HUTCH,138,35,DOBBIN S,NULL,"The study and practice of longer, more complicated newspaper and magazine stories, such as investigations and profiles, and an introduction to multimedia non-fiction storytelling for social media and other platforms. Applicable English Cluster: Media, Culture, and Communication",ENG
26061,ENG 135,INTRODUCTION TO DEBATE,Fall 2018,4.0,Open,R,1400,1640,LCHAS,182,15,FLETCHER F,NULL,"The purpose of this course is to give students an appreciation for and knowledge of critical thinking and reasoned decision-making through argumentation. Students will research both sides of a topic, write argument briefs, and participate in formal and informal debates. Students will also be exposed to the major paradigms used in judging debates. Applicable English Cluster: Media, Culture, and Communication [H1ENG016]",ENG
26076,ENG 135,INTRODUCTION TO DEBATE,Fall 2018,4.0,Open,T,1400,1640,LCHAS,160,15,FLETCHER F,NULL,"The purpose of this course is to give students an appreciation for and knowledge of critical thinking and reasoned decision-making through argumentation. Students will research both sides of a topic, write argument briefs, and participate in formal and informal debates. Students will also be exposed to the major paradigms used in judging debates. Applicable English Cluster: Media, Culture, and Communication [H1ENG016]",ENG
86022,ENG 154,INTRO TO DESIGN FOR STAGE,Fall 2018,2.0,Open,M,1150,1345,TODD,107,8,REISER S,NULL,"Space and how it is conceived and explored is fundamental to the telling of stories—onstage and elsewhere.  This introductory course aims at giving students skills to create, translate and communicate a visual design/environment for performance. The class will focus on design fundamentals, materials, research and visual storytelling through class discussion, script analysis and practical work. Students will read a play, devise a concept for that play, research possible environments, and begin to produce drawings and other visual ideas for their design. Student's work will be presented and discussed in each class.",ENG
86273,ENG 164,IMPROVISATION,Fall 2018,4.0,Open,R,1525,1805,TODD,107,15,THOMPSON J,NULL,"This course allows students to move progressively toward a stronger understanding of long form improvisation acting theory and skills related to listening, supporting others, heightening, and taking risks.  By the end of this course students will be able to work within a cast to create full length, fully improvised plays that incorporate spontaneous monologues and scenes with recurring characters and themes.  Performers will develop skills that enable them to write, direct, edit, and act in pieces that are made up on the spot using a single audience suggestion.  Particular focus will paid to the format known as Harold.  Originally conceived by Del Close in the 1960’s with the Compass Players in San Francisco and later developed at the Improv Olympic in Chicago with Charna Halpern, the Harold is widely considered the cornerstone of modern improv comedy.",ENG
26093,ENG 170,TECHNICAL THEATRE,Fall 2018,4.0,Open,M,900,1140,TODD,202F,15,RICE G,NULL,"The creation of a contemporary theatrical production uses skills and talents across a wide range of disciplines: from carpentry to rigging, from painting to computer drafting, from electrical to audiovisual engineering for the stage. This introductory course will explore the theories, methods, and safe practice of set construction (including using power tools), rigging, stage lighting, drafting, sound, and scene painting.  Students will work on actual productions staged by the Theatre Program during required labs that will be scheduled with the instructor.",ENG
26109,ENG 172,INTRODUCTION TO STAGE LIGHTING & SOUND,Fall 2018,4.0,Open,TR,1105,1220,TODD,202F,15,RICE G,NULL,"Lighting and sound provide theatre productions with critical, complex and nuanced effects that tell stories as eloquently as words.  This course exposes students to the mechanics and aesthetics of lighting and sound design for the theatre.  Students gain a thorough understanding of lighting and sound equipment, procedures, safety, and how these fascinating elements contribute to creating and enriching the theatrical event. Students work actively with these technologies on productions, getting valuable practical experience. There is a required lab component that will be scheduled with the instructor.",ENG
26114,ENG 174,ACTING TECHNIQUES: FALL,Fall 2018,4.0,Open,T,1400,1640,TODD,107,15,BROWNE P,NULL,"This course serves as an introduction to, and exploration of the acting process for the stage, developing the fundamental skills students need to approach a text from a performer’s standpoint and to create character. The course takes as its basic premise that the actor’s instrument is the self—with all of the physical, psychological, intellectual, social, moral and spiritual implications of that term. Students will be encouraged in both the expression and the expansion of the self and of the imagination. The class will also help the student develop an overall appreciation for the role of the theatre in today’s society.",ENG
26123,ENG 174,ACTING TECHNIQUES: FALL LAB,Fall 2018,LAB,Open,W,1525,1640,TODD,107,15,BROWNE P,NULL,"This course serves as an introduction to, and exploration of the acting process for the stage, developing the fundamental skills students need to approach a text from a performer’s standpoint and to create character. The course takes as its basic premise that the actor’s instrument is the self—with all of the physical, psychological, intellectual, social, moral and spiritual implications of that term. Students will be encouraged in both the expression and the expansion of the self and of the imagination. The class will also help the student develop an overall appreciation for the role of the theatre in today’s society.  Fall class: in conjunction with a weekly scheduled lab.",ENG
26137,ENG 176,MOVEMENT FOR THE ACTOR,Fall 2018,4.0,Open,MF,1650,1805,TODD,107,15,BICKWEAT PENN,NULL,"Ninety three percent of communication is nonverbal.  In today's ever increasingly technological world “soft skills” are more valuable than ever.  It is not just important what we say, but how we say it.  In Movement for Stage using Alexander Technique, Bartenieff Fundamental, View Points, Laban and many other exercises and explorations students will gain an awareness of their own habits and physical tensions, learn alignment and relaxation techniques, let go of inhibitions and then learn to make physical choices to create diverse and inventive characters.  Students will learn to read the body language of others and tools to use in their own lives to physically adjust and respond and relate to new situations in new ways.",ENG
26146,ENG 178,DESIGN FOR STAGE: SOUND,Fall 2018,2.0,Open,M,1150,1345,TODD,107,8,AUCIELLO E,ENG 154 or ENG 155,"Design for Stage: Sound addresses both conceptual and practical aspects of the creation of sound for live performance.  Students will acquire an understanding of the history and theory of sound design, with emphasis placed on the creative association of sound and image; the process of developing a well-crafted, professional design from script to technical rehearsal to performance; and hands-on experience with tools and techniques used to build a sound design and execute it on stage.",ENG
26158,ENG 180,DIRECTING,Fall 2018,4.0,Open,F,1400,1640,TODD,107,15,GREER A,NULL,"In today’s theatre, the director is generally considered to be the key creative figure in how a theatre production is conceived, explored and presented.  But the director’s task is a difficult one, encompassing rigorous intellectual, theatrical and artistic knowledge and skills. This introductory directing techniques class for aspiring directors will explore the nature of the theatrical event, investigate conceptualization, visualization, text analysis, action and design as they pertain to the director's craft. In conjunction with a weekly scheduled lab.",ENG
26160,ENG 180,DIRECTING LAB,Fall 2018,LAB,Open,W,1525,1640,TODD,107,15,GREER A,NULL,"In today’s theatre, the director is generally considered to be the key creative figure in how a theatre production is conceived, explored and presented.  But the director’s task is a difficult one, encompassing rigorous intellectual, theatrical and artistic knowledge and skills. This introductory directing techniques class for aspiring directors will explore the nature of the theatrical event, investigate conceptualization, visualization, text analysis, action and design as they pertain to the director's craft. In conjunction with a weekly scheduled lab.",ENG
82504,ENG 203,MEDIEVAL DRAMA,Fall 2018,4.0,Open,TR,1525,1640,MEL,205,0,O'NEIL S,NULL,"What did drama look and feel like in the Middle Ages? How much can we know about performances that took place well over 600 years ago? We have two main goals ahead of us in this course: to read the major extant works of drama in Middle English, and to stage a medieval play. Along the way, we will discuss the texts themselves, the manuscript history of the surviving plays, their performance history, their relation to drama on the Continent, the religious opposition to them, sixteenth-century attempts to de-Catholicize them, their ultimate suppression after the Reformation, and their revival in twentieth-century England and North America.",ENG
82405,ENG 204,"Warriors, Women, and Wisemen: Medieval Celtic Literature",Fall 2018,4.0,Open,MW,1150,1305,DEWEY,4162,0,HIGLEY S,NULL,"This course will introduce you to the literature of medieval Wales and Ireland by giving you translations from some of the best scholars. The major emphasis will be on what the title suggests: goddesses, warriors, and shamans. We will examine the nature of the warrior cult as it emerges in Welsh and Irish romance and epic, and the relationship of men and women. Related to this theme is the figure of the ""bard"" (Welsh; in Irish: fili), the poet whose poetry was combative, magical and esoteric. We will compare heroic tales and romances in the Welsh Gododdin and Mabinogion, and look as well at the Druid and the Saint. To what extent do all three draw from or redefine the cult of the warrior? Where does the druid leave off and the Christian saint begin? What is the cult of the cauldron? The Severed Head? The Morrígan? The Sovereignty Figure? The Sheela na Gig? What are our fond myths about the Visionary Celt? The Celtic Twilight? Wiccan? Fairies?",ENG
96045,ENG 206,"DANTE'S ""DIVINE COMEDY"": A JOURNEY FROM INFERNO TO PARADISE, PART I. ""INFERNO"" AND ""PURGATORIO""",Fall 2018,4.0,Open,MW,1525,1640,GAVET,310,0,STOCCHI-PERUC; BARONI A,NULL,"The first of a sequence of two, the course approaches ""The Divine Comedy"" both as a poetic masterpiece and as an encyclopedia of medieval culture. Through a close textual analysis of ""Inferno,"" and the first half of ""Purgatorio,"" students learn how to approach Dante’s poetry as a vehicle for thought, an instrument of self-discovery, and a way to understand and affect the historical reality. They also gain a perspective on the Biblical, Christian, and Classical traditions as they intersect with the multiple levels of Dante’s concern, ranging from literature to history, from politics to government, from philosophy to theology. A visual component, including illustrations of the ""Comedy"" and multiple artworks pertinent to the narrative, complements the course. Class format includes lectures, discussion, and a weekly recitation session. Intensive class participation is encouraged. Dante I can be taken independently from Dante II. No prerequisites. Freshmen are welcome. Part of the Dante Humanities Cluster.",ENG
87031,ENG 206A,BEHIND VOYNICH MANUSCRIPT,Fall 2018,2.0,Open,R,1815,1930,MOREY,501,0,HIGLEY S,NULL,"The fifteenth-century Voynich MS, discovered by Wilfred Voynich in 1912, has been the source of intense curiosity for over a century, not only because of its striking and peculiar drawings--unidentifiable plants, strange pipes and bathing women, mandalas and astrological signs--but mainly because of its beautiful but inscrutable writing. No one, not even the best cryptologists, have been able to decipher it. We will examine the history of its scrutiny--the arguments, frustration, and flights of fancy this ""cult object"" induced--by reading books about it, watching a documentary, examining spin-offs, comic-strips, blog-posts, the Codex Serafinianus, and at least one schlocky novel of the scores it inspired.",ENG
82489,ENG 211,MILTON,Fall 2018,4.0,Open,TR,1230,1345,LCHAS,148,0,MILLER W,NULL,"This course will examine the literary career of John Milton, paying special attention to Paradise Lost, his epic poem depicting Satan's temptation of Adam and Eve. Milton thrived as a poet and polemicist during a time (not unlike our own) of political upheaval, religious controversy, and scientific discovery, and we will consider how his writings both reflect and redirect these larger cultural currents. Students will read Milton’s major lyric, epic, and dramatic poetry and a selection of his prose, including his influential attack on state censorship (Areopagitica) and his still-radical defenses of revolutionary action. This course fulfills the Pre-1800 requirement for English majors.",ENG
26212,ENG 213,METAPHYSICAL POETRY,Fall 2018,4.0,Open,TR,940,1055,LCHAS,163,0,GROSS K,NULL,"This class will delve into the work of the so-called “metaphysical poets,” a group of English poets writing in the early and mid-seventeenth century, including John Donne, George Herbert, Henry Vaughan, Thomas Traherne, and Andew Marvell. These poets are noted for their intense, passionate style of intellectual play, wildness of metaphor, density of argument, and dramatic force of language. Their poems range from the secular to the sacred, from bluntly erotic poems to poems of spiritual struggle and cosmological fantasy. We will also be looking at sonnets by William Shakespeare, and read prose works by Donne and Sir Thomas Browne. The metaphysicals have been a continual provocation to modern poets, from T. S. Eliot to Elizabeth Bishop and John Ashbery, and we’ll be looking at some of these responses as well. Relevant cluster: Poems, Poetry, and Poetics (H1ENG012). Counts for pre-1800 requirement in the English major.",ENG
26230,ENG 223,"MADNESS, MARRIAGE, AND MONSTROSITY",Fall 2018,4.0,Open,MW,1230,1345,MOREY,502,0,LONDON B,NULL,"The nineteenth-century novel is usually associated with Victorian values: happy marriage; wholesome homes; moral propriety; properly channeled emotions and ambitions. Many of the most popular novels, however, paint a very different picture: with madwomen locked in attics and asylums; monsters, real and imagined, lurking behind the facade of propriety; genteel homes harboring opium addicts; fallen women walking the streets; and sexual transgression and degeneracy popping up everywhere. Indeed, for novels centrally structured around marriage and society, madness and monstrosity appear with alarming regularity. The intertwining of these tropes suggests some of the cultural anxieties unleashed by the new body of women writers and women readers. We will begin with Frankenstein and end with Dracula, two novels from opposite ends of the century. We will also consider such classic marriage plot novels as Pride and Prejudice and Jane Eyre and some popular sensation fiction of the 1860s.",ENG
85251,ENG 232,Poe & Hoffman: Uncanny Stories,Fall 2018,4.0,Open,MW,1400,1515,LCHAS,103,19,GUSTAFSON S,NULL,"This course explores the beginnings of the horror and detective genres in the 19th century. Particular attention is devoted to the narrative structure, tropes, and psychological content of the strange tales by Poe and Hoffmann. Theories of horror are also addressed to include discussions by lessing, Todorov, Huet, and Kristeva.",ENG
82241,ENG 238,The Great War Revisited,Fall 2018,4.0,Open,MW,1025,1140,LCHAS,104,0,LONDON B,NULL,"With its unprecedented death toll and new technologies of destruction, WWI shattered illusions and exploded the fabric of society as people then knew it. Despite subsequent world conflicts and traumatic occurrences, the Great War has remained for the British a haunting presence, becoming, in poet Ted Hughes’s words, the “number one national ghost.” As we observe the 100th anniversary of the war, we will trace the history of this national obsession in the searing poetry of the trenches, the combatant’s memoirs that exposed the war’s horror and futility, and the modernist fiction that registered the war’s impact in new ways of seeing. We will also explore returns to the war in late 20th/early 21st c. film, theater, television, and popular fiction. For as War Horse and Downton Abbey have dramatically demonstrated, the memory of the war continues to fascinate, sustaining old myths and feeding new ones. This course will attempt to explain why the Great War has had such a remarkable hold on the modern imagination.",ENG
82447,ENG 242,RACE AND RESISTENCE,Fall 2018,4.0,Open,MW,1400,1515,GRGEN,110,0,MICHAEL J,NULL,"We will consider the emergence and consolidation of African American identities as acts of resistance to the dominant culture’s racist fantasies about and representations of black women and men.  To do this, we will consider historical and contemporary examples of racist discourse, literature, and film and black counterstatements in discourse and art.  Primary case studies will involve the struggles around slavery, Reconstruction and its aftermath, black women, and black intellectuals.  Texts we discuss may include works by Hegel, Jefferson, David Walker, Douglass, D. W. Griffith’s, Chesnutt, Oscar Michaud, Du Bois, Washington, Jacobs, Faulkner, Hurston, Morrison, Spike Lee, Ta- Nehisi Coates, Cornel West, Hortense Spillers, Jared Sexton and others.",ENG
26301,ENG 245,THE MODERN NOVELLA,Fall 2018,4.0,Open,MW,1230,1345,MEL,206,0,SCHOTTENFELD,NULL,"More broadly, a study of the gray zone between short story and novel, containing many ambiguous labels (long short story, novella, short novel). The course will interrogate various boundaries -- When does a short story become a novella? When does a novella become a novel? -- and locate answers not merely in word count, but in reader experience and expectation. Because of the (relative) brevity of these in-between texts, the course will cover much stylistic and geographic ground. Author list may include: Franz Kafka, Philip Roth, Don DeLillo, Carson McCullers, Nathanael West, Gabriel García Márquez, Henry James, George Saunders, Ethan Canin, Aleksandar Hemon, William Gass, Flannery O'Connor, Cynthia Ozick, and Joseph Conrad.",ENG
26316,ENG 245,THE OUTSIDER IN LITERTURE,Fall 2018,4.0,Open,MW,1025,1140,LCHAS,103,0,TUCKER J,NULL,"This course uses literature to analyze social behavior, specifically processes of inclusion and exclusion. How communities are constructed, around what signs and sets of practices, and the role that exclusion plays in defining a community are topics we will explore. What does it mean to belong? To be excluded? And just how stable are these categories? Literature from a variety of traditions, historical periods, and genres will provide examples, case histories, and a vocabulary with which such social phenomena can be discussed. Texts include Beowulf, John Gardner’s Grendel, Nathaniel Hawthorne’s The Scarlet Letter, Seamus Heaney’s The Cure at Troy, Amin Maalouf’s In the Name of Identity, Toni Morrison’s The Bluest Eye, Peter Shaffer’s Equus, Virginia Woolf’s A Room of One’s Own, Richard Wright’s Black Boy, and more. Course requirements include two essays, bi-weekly response papers, and class participation.",ENG
26352,ENG 252,THEATER IN ENGLAND,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,0,MANNHEIMER K,Instructor's permission is required. The fee for the course is $2550.,"This 4-credit intersession course will be conducted in London, UK, from December 26, 2018–January 6, 2019. Attending two plays per day with a seminar discussion each morning, students in this course are exposed to a full range of theatre experiences, from intimate theatre-in-the-round to monumental productions at the National Theatre, and from West End spectaculars to cutting-edge works mounted in post-industrial spaces. See the link on the English Department homepage to find the course's website, which describes the program in greater detail and contains syllabi from the past 25+ years. Need-based financial aid is available. The fee total is $2850",ENG
82454,ENG 253,THE BIBLE IN ENGLISH,Fall 2018,4.0,Open,TR,1525,1640,LCHAS,184,0,MILLER W,NULL,"This course considers the poetics and politics of the English Bible, centering on the seventeenth century: the century of the King James translation, the Thirty Years War, the English Revolution, and the rise of many radical religious groups. Among other topics, we will consider what made Bible translation so politically dangerous (and effective) during this time. We will ask when and why a book counts as “scripture.” We will track the importance of Bible translation for revolutionaries and visionaries like the Levellers, the Quakers, and the Ranters, who scandalized early modern society with new ideas of religious liberty, gender equality, and non-hierarchical spirituality. Finally, we will consider the role of the Bible in current-day conflicts and identities. In addition to excerpts from the Bible, students will read the Sidneys, Milton, Herbert, Donne, Abiezer Coppe, Spinoza, Hutchison, Bunyan, and Swift.",ENG
26369,ENG 255,FILM HISTORY: EARLY CINEMA,Fall 2018,4.0,Open,T,1815,2200,GEM,CURT,0,CARLI P,NULL,"Intro to history, technology, cultural significance of motion pictures of the ""pre-sound"" era, screenings of 35mm prints accompanied by live music in the Dryden Theatre. Special attention to major pioneers, Dickson, Porter, Lumière, Méliès, and Griffith, including a variety of internationally produced films selected from the world-famous archival film collection of the George Eastman House. Same as FMS 247",ENG
82925,ENG 256,FILM HISTORY: 1929-1959,Fall 2018,4.0,Open,MW,1525,1640,MOREY,504,30,WILLIS S,NULL,"This course provides a transnational survey of film history, examining the technical and formal aspects of the medium in its production and exhibition.  As we explore the development of cinema during this period, we will address a number of aesthetic and  technological issues.  For example, how did the development of sound technology affect film form?  How did it affect cross-cultural cinematic exchange?  What is the significance of genre across various film traditions?  What did the studio system contribute to Hollywood's success in the international market?  How did immigrant and exiled film personnel shape the industries they joined?  Weekly screenings and film journals required.",ENG
87013,ENG 262,"Polish Literature and Culture: Local Perspectives, Global Ambitions",Fall 2018,4.0,Open,TR,1105,1220,MEL,218,0,CZERNIK J,NULL,"This course will focus on modern Polish literature and culture and look at cultural heritage that is often considered local, ‘minor’ and inaccessible from the outside. We will explore Polish cinema (Wojciech Jerzy Has, Andrzej Wajda, Krzysztof Kieślowski, etc.) and literature (Conrad, Schulz, Nałkowska, Borowski, Iwaszkiewicz, Miłosz, Gombrowicz, Szymborska, Zagajewski, Tokarczuk, Lem, Kapuściński, etc.), identifying local perspectives as well as global ambitions of Polish authors and artists, looking not only for national dimensions of Polish culture, but checking how it fits into the global cultural marketplace and world literature.",ENG
